City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
455,skelleftea,64.7507,20.9528,-1.67,99,26,2.57,SE,1675813182
456,santa maria,-29.6842,-53.8069,24.61,53,20,0.51,BR,1675813183
457,severnyy,50.677,36.5532,-11.98,85,0,4.0,RU,1675813183
458,ilheus,-14.7889,-39.0494,27.9,74,0,2.57,BR,1675813184
459,biak,-0.9131,122.8766,26.02,76,98,1.75,ID,1675813184
460,sumbe,-11.2061,13.8437,23.8,82,41,3.46,AO,1675813188
461,meadow lake,34.8014,-106.5436,5.27,57,100,0.96,US,1675813189
462,nusaybin,37.0778,41.2178,2.66,87,49,1.2,TR,1675813190
463,eureka,40.8021,-124.1637,15.67,69,46,2.23,US,1675813190
464,hami,42.8,93.45,0.3,57,100,0.5,CN,1675813191
465,ashdod,31.8167,34.65,12.16,66,84,11.57,IL,1675813191
466,santa vitoria do palmar,-33.5189,-53.3681,23.12,72,26,5.42,BR,1675813094
467,havelock,34.8791,-76.9013,13.98,71,20,3.09,US,1675813063
468,naze,28.3667,129.4833,16.51,73,85,6.12,JP,1675813192
469,udachnyy,66.4167,112.4,-41.6,100,99,1.19,RU,1675813193
470,roald,62.5833,6.1333,8.08,53,20,7.2,NO,1675813193
471,imbituba,-28.24,-48.6703,23.39,86,23,3.2,BR,1675813194
472,choix,26.7092,-108.3219,25.38,11,57,2.18,MX,1675813195
473,puerto del rosario,28.5004,-13.8627,15.86,63,0,3.6,ES,1675813195
474,puerto narino,-3.7703,-70.3831,23.04,97,73,0.37,CO,1675813196
475,vila velha,-20.3297,-40.2925,26.97,88,75,4.12,BR,1675813196
476,srednekolymsk,67.45,153.6833,-34.56,98,100,2.43,RU,1675813197
477,novikovo,51.1537,37.8879,-11.62,95,9,3.47,RU,1675813197
478,sovetskiy,61.3614,63.5842,-26.18,100,99,2.04,RU,1675813198
479,port-cartier,50.0334,-66.8654,-6.18,83,100,2.84,CA,1675812999
480,sorland,67.667,12.6934,5.92,76,100,19.86,NO,1675813198
481,richards bay,-28.783,32.0377,22.84,96,45,1.81,ZA,1675813199
482,havre-saint-pierre,50.2334,-63.5986,-8.0,72,0,3.6,CA,1675813199
483,copiapo,-27.3667,-70.3333,18.83,45,48,2.52,CL,1675813200
484,alappuzha,9.49,76.3264,22.22,84,45,2.4,IN,1675813200
485,salzkotten,51.6717,8.6009,-1.24,77,0,2.06,DE,1675813201
486,sassandra,4.95,-6.0833,25.31,91,77,2.23,CI,1675813203
487,olafsvik,64.8945,-23.7142,-2.82,63,100,11.23,IS,1675813204
488,saran,47.9501,1.876,0.46,90,0,2.57,FR,1675813205
489,hillerod,55.9267,12.3109,1.52,94,94,1.79,DK,1675813206
490,hirara,24.8,125.2833,20.15,83,75,4.12,JP,1675813207
491,lucea,18.451,-78.1736,26.92,77,3,6.47,JM,1675813208
492,rawlins,41.7911,-107.2387,-2.06,64,100,3.09,US,1675813212
493,thompson,55.7435,-97.8558,-16.91,85,100,2.06,CA,1675813132
494,nuoro,40.3211,9.3297,1.48,80,66,3.24,IT,1675813215
495,taoudenni,22.6783,-3.9836,18.65,20,91,4.87,ML,1675813215
496,yanliang,34.6592,109.2292,5.55,56,100,5.0,CN,1675813216
497,molokovo,58.1661,36.7628,-8.12,96,99,3.86,RU,1675813217
498,coari,-4.085,-63.1414,23.84,93,55,1.22,BR,1675813138
499,panama city,8.9936,-79.5197,28.43,68,40,4.12,PA,1675813049
500,banmankhi,25.8833,87.1833,13.94,62,0,1.88,IN,1675813225
501,warman,52.3168,-106.5679,-1.05,86,75,5.14,CA,1675813225
